city,temp,country,date,latitude,longitude,cloudiness,humidity,wind speed
Fagersta,30.79,SE,1639071163,60.0042,15.7932,100,83,5.66
Calvinia,74.26,ZA,1639071163,-31.4707,19.776,28,38,9.75
Conakry,87.87,GN,1639071163,9.538,-13.6773,20,66,9.22
Batagay,-38.2,RU,1639071164,67.6333,134.6333,77,100,1.83
Moreira Sales,86.34,BR,1639071164,-24.0622,-53.0069,0,30,5.08
Newport,50.02,GB,1639071055,51.5877,-2.9984,99,90,12.03
Saint Paul Harbor,38.71,US,1639071164,57.79,-152.4072,90,81,17.27
Nador,59.25,MA,1639071164,35.174,-2.9287,20,67,14.97
Santa Fe,93.74,AR,1639071041,-31.6333,-60.7,48,31,3
Yulara,73.24,AU,1639071164,-25.2406,130.9889,3,25,10.36
Nyimba,87.49,ZM,1639071164,-14.5566,30.8149,83,30,10.38
Ishigaki,71.13,JP,1639071165,24.3448,124.1572,94,62,18.32
Cam Ranh,76.96,VN,1639071165,11.9214,109.1591,20,73,13.8
Kamina,65.84,CD,1639071165,-8.7386,24.9906,37,92,1.79
Vuktyl,15.94,RU,1639071165,63.8567,57.3094,100,96,1.79
Adolfo López Mateos,59.94,MX,1639071165,28.4667,-107.3,100,31,22.86
Kalemie,72.66,CD,1639071165,-5.9475,29.1947,71,78,1.9
Koumac,79.09,NC,1639071165,-20.5667,164.2833,4,80,1.72
Tornio,14.02,FI,1639071013,65.8481,24.1466,100,94,12.71
São Félix do Xingu,80.71,BR,1639071166,-6.6447,-51.995,100,76,0.13
Kahului,75.85,US,1639071166,20.8947,-156.47,20,82,4.61
Bintulu,75.61,MY,1639071166,3.1667,113.0333,40,100,0
Shihezi,23.23,CN,1639071166,44.3,86.0333,90,91,3.91
Ajdabiya,59.99,LY,1639071166,30.7554,20.2263,90,30,11.5
Reconquista,95.41,AR,1639071166,-29.15,-59.65,0,20,6.85
Koygorodok,13.86,RU,1639071166,60.445,50.9968,100,95,6.13
Luanda,78.8,AO,1639071016,-8.8368,13.2343,75,83,1.14
Juneau,34.21,US,1639071041,58.3019,-134.4197,90,96,5.99
Siderno,54.57,IT,1639071166,38.2779,16.302,97,77,8.81
Pundaguitan,81.99,PH,1639071166,6.3711,126.1689,96,77,3
Riyadh,68.14,SA,1639070913,24.6877,46.7219,68,24,6.44
Rovaniemi,11.61,FI,1639071167,66.5,25.7167,40,85,10.36
Aparecida do Taboado,86.85,BR,1639071167,-20.0867,-51.0936,2,30,5.08
Ocós,91.9,GT,1639071167,14.5094,-92.1933,35,69,9.53
Strezhevoy,-2.22,RU,1639071095,60.7333,77.5889,68,97,6.73
Manisa Province,49.37,TR,1639070987,38.8333,28.1667,27,55,5.28
Biak,76.14,ID,1639071167,-0.9131,122.8766,26,82,3.94
Kidal,75.69,ML,1639071167,18.4411,1.4078,95,7,10.83
Tuatapere,49.82,NZ,1639071167,-46.1333,167.6833,31,92,3.51
Sibu,77.31,MY,1639071168,2.3,111.8167,40,94,1.99
Campo Grande,83.75,BR,1639071168,-20.4428,-54.6464,40,39,9.22
Okhotsk,-1.34,RU,1639071168,59.3833,143.3,100,86,10.04
Tres Palos,83.01,MX,1639071168,18.1833,-101.6167,3,35,3.47
Kanigoro,73.89,ID,1639071168,-8.13,112.219,51,95,1.7
Emet,41.18,TR,1639071168,39.343,29.2585,5,66,6.69
Anloga,86.22,GH,1639071168,5.7947,0.8973,3,76,10.51
Lagoa,62.37,PT,1639071169,39.05,-27.9833,100,60,8.84
St. George's,87.48,GD,1639071169,12.0564,-61.7485,40,62,14.97
Nizhniy Tsasuchey,10.36,RU,1639071169,50.5167,115.1333,56,87,4.36
Suoyarvi,-3.1,RU,1639071169,62.0833,32.35,71,100,1.77
Pisco,69.03,PE,1639071169,-13.7,-76.2167,100,83,10.36
Zhigansk,-14.46,RU,1639071169,66.7697,123.3711,100,95,19.46
Rome,31.86,US,1639070874,43.2128,-75.4557,1,74,6.91
Sibolga,76.78,ID,1639071170,1.7427,98.7792,100,91,1.45
Alice Springs,60.35,AU,1639071170,-23.7,133.8833,3,77,5.75
Puro,77.86,PH,1639071170,12.4841,123.3827,100,82,12.41
Balkanabat,56.3,TM,1639071170,39.5108,54.3671,34,36,3.62
Novosergiyevka,24.42,RU,1639071170,52.0934,53.6528,100,76,13.47
Ca Mau,75.02,VN,1639071171,9.1769,105.15,88,90,4.27
Marawi,68.65,PH,1639071171,7.9986,124.2928,100,99,2.21
Srebrenica,37.58,BA,1639071171,44.1064,19.2969,99,100,1.72
Namatanai,79.41,PG,1639071171,-3.6667,152.4333,97,86,11.99
Korla,30.69,CN,1639071171,41.7597,86.1469,100,57,14.83
Brae,44.51,GB,1639071171,60.3964,-1.353,92,77,19.39
Ust-Tsilma,-2.27,RU,1639071171,65.441,52.1498,94,100,1.7
Goundam,83.03,ML,1639071172,16.4145,-3.6708,81,10,10.36
Nuevitas,87.24,CU,1639071172,21.5453,-77.2644,5,54,11.9
Port Augusta,57.34,AU,1639071172,-32.5,137.7667,59,66,9.91
Dera Bugti,57.78,PK,1639071172,29.0307,69.151,0,29,3.65
Syra,65.28,GR,1639071172,37.4423,24.9425,40,77,17.27
Leh,10.04,IN,1639071172,34.1667,77.5833,89,76,2.1
Nilagiri,68.38,IN,1639071172,21.4582,86.7722,89,81,2.19
Chapais,2.98,CA,1639071172,49.7834,-74.8492,84,85,0.98
Sednëv,28.2,UA,1639071028,51.6447,31.565,100,99,9.19
Aleksandrov Gay,36.12,RU,1639071173,50.147,48.5704,100,77,8.23
Arbazh,20.5,RU,1639071173,57.6804,48.3065,100,94,8.39
Emba,26.94,KZ,1639071173,48.8264,58.1442,99,42,20.27
Haapiti,80.33,PF,1639071173,-17.5667,-149.8667,78,67,12.37
Straumen,35.6,NO,1639071173,63.8709,11.2999,71,86,5.37
Uruguaiana,85.93,BR,1639071173,-29.7547,-57.0883,0,39,8.05
Verkhnevilyuysk,-3.51,RU,1639071174,63.4453,120.3167,100,90,9.15
Honiara,78.08,SB,1639071174,-9.4333,159.95,100,89,2.01
Souillac,79.18,MU,1639071174,-20.5167,57.5167,75,69,4.61
Camacha,62.53,PT,1639071174,33.0833,-16.3333,75,72,12.66
Saint-François,37.67,FR,1639071174,46.4154,3.9054,75,80,3.44
Thanh Hoa,64.89,VN,1639071174,19.8,105.7667,92,83,3.78
